Intermediate_Population,Population Definition Reported,144,167,180,296,301,314,364,369,372,376,387,522,645
Activated Non-classical Monocytes,"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+",,,X,,,,,,,,,,
Activated Non-classical Monocytes,"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+",,,X,,,,,,,,,,
Activated Non-classical Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+",,,X,,,,,,,,,,
Activated Non-classical Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+",,,X,,,,,,,,,,
Activated Plasmablasts / Plasma cells,"CD19+, CD3-, CD14-, CD20-, CD86+",X,,,,,,X,X,X,X,,,
Activated Plasmablasts / Plasma cells,"CD19+, CD3-, CD14-, CD20-, HLADR+",,,,,,,,,,,,,X
Activated Plasmablasts / Plasma cells,"CD19+, CD3-, CD14-, CD27+, CD138+, CD86+",X,,,,,,X,X,X,X,,,
Activated Plasmablasts / Plasma cells,"CD19+, CD3-, CD14-, CD27+, CD138+, HLADR+",,,,,,,,,,,,,X
Activated Plasmablasts / Plasma cells,"CD19+, CD3-, CD14-, CD38+, CD20-, CD86+",X,,,,,,X,X,X,X,,,
Activated Plasmablasts / Plasma cells,"CD19+, CD3-, CD14-, CD38+, CD20-, HLADR+",,,,,,,,,,,,,X
Activated Plasmablasts / Plasma cells,"Singlet/WBC/Lymph/CD19/CD19+, CD20-/CD86+",,,,,,,,,,,X,,
Activated Plasmablasts / Plasma cells,Singlet/WBC/Lymph/CD19/CD27+/CD138+/CD86+,,,,,,,,,,,X,,
Activated Plasmablasts / Plasma cells,"Singlet/WBC/Lymph/CD19/CD38+, CD20-/CD86+",,,,,,,,,,,X,,
Activated Plasmablasts / Plasma cells,"Singlets/WBC/Lymph/CD19/CD27/CD138/CD86,Freq. of Parent",,,,X,X,,,,,,,,
Activated Plasmablasts / Plasma cells,"Singlets/WBC/Lymph/CD19/CD27/PB/CD86,Freq. of Parent",,,,X,X,,,,,,,,
Activated Plasmablasts / Plasma cells,"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+/CD86,Freq. of Parent",,,,X,X,,,,,,,,
Activated Plasmablasts / Plasma cells,"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56/CD86,Freq. of Parent",,,,X,X,,,,,,,,
Activated T cells,"CD3+, HLA-DR+",,,,,,,,X,X,X,,,X
Activated T cells,"CD3+, ICOS+",X,,,,,,X,X,X,X,,,X
Activated T cells,Singlet/WBC/Lymph/CD3/ICOS+,,,,,,,,,,,X,,
Activated T cells,"Singlets/WBC/Lymph/CD3+/CD38,Freq. of Parent",,,,X,X,,,,,,,,
Activated T cells,"Singlets/WBC/Lymph/CD3/DR,Freq. of Parent",,,,X,X,,,,,,,,
Activated T cells,"Singlets/WBC/Lymph/CD3/ICOS+,Freq. of Parent",,,,X,X,,,,,,,,
Activated Transitional B cells,"CD19+, CD3-, CD14-, CD38+, CD24+, CD86+",X,,,,,,X,X,X,X,,,
Activated Transitional B cells,"CD19+, CD3-, CD14-, CD38+, CD24+, HLADR+",,,,,,,,,,,,,X
Activated Transitional B cells,"Singlet/WBC/Lymph/CD19/CD38+, CD24+/CD86+",,,,,,,,,,,X,,
Activated Unspecified B cells,"CD19+, CD3-, CD14-, CD20+, CD86+",X,,,,,,X,X,X,X,,,
Activated Unspecified B cells,"CD19+, CD3-, CD14-, CD20+, HLADR+",,,,,,,,,,,,,X
Activated Unspecified B cells,"CD19+, CD3-, CD14-, CD86+",X,,,,,,X,X,X,X,,,
Activated Unspecified B cells,"Singlet/WBC/Lymph/CD19/CD19+, CD20+/CD86+",,,,,,,,,,,X,,
Activated Unspecified B cells,Singlet/WBC/Lymph/CD19/CD86+,,,,,,,,,,,X,,
Activated Unspecified B cells,"Singlets/WBC/Lymph/CD19/CD86,Freq. of,CD19",,,,X,X,,,,,,,,
Activated pDCs,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40+",,,,,,,,X,X,X,,,X
Activated pDCs,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+",X,,,,,,X,X,X,X,,,X
Activated pDCs,"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86+",,,,,,,,,,,X,,
Activated pDCs,"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40+,Freq. of,pDC",,,,X,X,,,,,,,,
Activated pDCs,"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86+,Freq. of,pDC",,,,X,X,,,,,,,,
CD2 Functional pDC Subsets,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+",X,,,,,,X,X,X,X,,,X
CD2 Functional pDC Subsets,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-",X,,,,,,X,X,X,X,,,X
CD2 Functional pDC Subsets,"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2+",,,,,,,,,,,X,,
CD2 Functional pDC Subsets,"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2-",,,,,,,,,,,X,,
CD2 Functional pDC Subsets,"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2+,Freq. of,pDC",,,,X,X,,,,,,,,
CD2 Functional pDC Subsets,"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2,Freq. of Parent",,,,X,X,,,,,,,,
CD2 Functional pDC Subsets,"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH,Freq. of,CD4",,,,X,X,,,,,,,,
CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/1,Freq. of,TH",,,,X,X,,,,,,,,
CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/1-17,Freq. of,TH",,,,X,X,,,,,,,,
CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/17,Freq. of,TH",,,,X,X,,,,,,,,
CD4+ Helper T cells,"Singlets/WBC/Lymph/CD3/CD4/TH/2,Freq. of,TH",,,,X,X,,,,,,,,
CD4+ T cells (Other),CD3+ AND CD4+ AND small lymphocyte,,X,,,,,,,,,,,
CD4+ T cells (Other),"CD3+, CD4+",X,,,,,,,,,,,,
CD4+ T cells (Other),"CD3+, CD4+, CD8-",X,,,,,,X,X,X,X,,,X
CD4+ T cells (Other),"CD45+/CD3+/CD4,Freq. of,CD45+",,,X,,,,,,,,,,
CD4+ T cells (Other),"CD45+/CD3+/CD4/Teff,Freq. of,CD4",,,X,,,,,,,,,,
CD4+ T cells (Other),Singlet/WBC/Lymph/CD3/CD4,,,,,,,,,,,X,,
CD4+ T cells (Other),"Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3",,,,X,X,,,,,,,,
CD4+ T cells (Other),"ly/CD3+/CD4+,Freq. of,ly",,,X,,,,,,,,,,
CD4+ T cells (Other),"ly/CD3+/CD4+/bcl2,Freq. of,CD4+",,,X,,,,,,,,,,
CD4+ T cells (Other),"sing/CD45+/CD3+/CD4+,Freq. of,CD45+",,,X,,,,,,,,,,
CD4+ T cells (Other),"sing/CD45+/CD3+/CD4,Freq. of,CD45+",,,X,,,,,,,,,,
CD4+ T cells (Other),"sing/CD45+/CD3+/CD4/Teff,Freq. of,CD4",,,X,,,,,,,,,,
CD8+ Regularoty T cells (CD8+ Treg),"ly/CD3+/CD8+/CD25+,Freq. of,CD8+",,,X,,,,,,,,,,
CD8+ Regularoty T cells (CD8+ Treg),"ly/CD3+/CD8+/CTLA4+,Freq. of,CD8+",,,X,,,,,,,,,,
CD8+ Regularoty T cells (CD8+ Treg),"ly/CD3+/CD8+/FoxP3+,Freq. of,CD8+",,,X,,,,,,,,,,
CD8+ T cells (Other),CD3+ AND CD8+ AND small lymphocyte,,X,,,,,,,,,,,
CD8+ T cells (Other),"CD3+, CD4-, CD8+",X,,,,,,X,X,X,X,,,X
CD8+ T cells (Other),"CD3+, CD8+",X,,,,,,,,,,,,
CD8+ T cells (Other),"CD45+/CD3+/CD8,Freq. of,CD45+",,,X,,,,,,,,,,
CD8+ T cells (Other),Singlet/WBC/Lymph/CD3/CD8,,,,,,,,,,,X,,
CD8+ T cells (Other),"Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3",,,,X,X,,,,,,,,
CD8+ T cells (Other),"ly/CD3+/CD8+,Freq. of,ly",,,X,,,,,,,,,,
CD8+ T cells (Other),"ly/CD3+/CD8+/Q4: HLA-DR,, CD38,Freq. of,CD8+",,,X,,,,,,,,,,
CD8+ T cells (Other),"ly/CD3+/CD8+/Q5: K1-67,, bcl2bri,Freq. of,CD8+",,,X,,,,,,,,,,
CD8+ T cells (Other),"ly/CD3+/CD8+/Q8: K1-67,, bcl2di,Freq. of,CD8+",,,X,,,,,,,,,,
CD8+ T cells (Other),"ly/CD3+/CD8+/bcl2,Freq. of,CD8+",,,X,,,,,,,,,,
CD8+ T cells (Other),"sing/CD45+/CD3+/CD8,Freq. of,CD45+",,,X,,,,,,,,,,
Central Memory CD4+ T cells (TCM),"CD3+, CD4+, CCR7+, CD45RA-",X,,,,,,,,,,,,
Central Memory CD4+ T cells (TCM),"CD45+/CD3+/CD4/CM,Freq. of,CD4",,,X,,,,,,,,,,
Central Memory CD4+ T cells (TCM),"ly/CD3+/CD4+/Q9: CD45RA,, CCR7+,Freq. of,CD4+",,,X,,,,,,,,,,
Central Memory CD4+ T cells (TCM),"sing/CD45+/CD3+/CD4/CM,Freq. of,CD4",,,X,,,,,,,,,,
Central Memory CD8+ T cells (TCM),"CD3+, CD8+, CCR7+, CD45RA-",X,,,,,,,,,,,,
Central Memory CD8+ T cells (TCM),"ly/CD3+/CD8+/Q9: CD45RA,, CCR7+,Freq. of,CD8+",,,X,,,,,,,,,,
Central Memory CD8+ T cells (TCM),"sing/CD45+/CD3+/CD8/CM,Freq. of,CD8",,,X,,,,,,,,,,
Classical Monocytes,"CD14+, HLA-DR+, CD16-",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DR+, CD16-, CD11b+",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DR+, CD16-, CD11b-",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DR+, CD16-, CD62L+",,,,,,,,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DR+, CD16-, CD62L-",,,,,,,,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DR+, CD16-, CD86-",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DR+, CD16-, CX3CR1+",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DR+, CD16-, CX3CR1-",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DR+, CD16-, SLAN+",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DR+, CD16-, SLAN-",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DRhi, CD16-",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"CD14+, HLA-DRlo, CD16-",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"CD14lo, HLA-DR+, CD16-",X,,,,,,X,X,X,X,,,X
Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16-",,,,,,,,,,,X,,
Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD11b+",,,,,,,,,,,X,,
Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD11b-",,,,,,,,,,,X,,
Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86-",,,,,,,,,,,X,,
Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CX3CR1+",,,,,,,,,,,X,,
Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CX3CR1-",,,,,,,,,,,X,,
Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR+",,,,,,,,,,,X,,
Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR-",,,,,,,,,,,X,,
Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16-, SLAN+",,,,,,,,,,,X,,
Classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16-, SLAN-",,,,,,,,,,,X,,
Classical Monocytes,"WBC/2-WBC/lymono/monos/CD14+CD16-,Freq. of,monos",,,X,,,,,,,,,,
Classical Monocytes,"WBC/2-WBC/lymono/monos/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-",,,X,,,,,,,,,,
Classical Monocytes,"WBC/2-WBC/lymono/monos/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-",,,X,,,,,,,,,,
Classical Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-,Freq. of,2-CD14+",,,X,,,,,,,,,,
Classical Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-",,,X,,,,,,,,,,
Classical Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-",,,X,,,,,,,,,,
Dendritic Cells (Pan-DC),"Lin1-, HLA-DR+",X,,,,,,,,,,,,
Double Negative (DN) / Atypical B cells,"CD19+, CD3-, CD14-, CD27-, IgD-",X,,,,,,X,X,X,X,,,X
Double Negative (DN) / Atypical B cells,"Singlet/WBC/Lymph/CD19/CD27-, IgD-",,,,,,,,,,,X,,
Double Negative (DN) / Atypical B cells,"sing/WBC/CD19+SCC/CD19+/nQ4: CD27-,, IgD-,Freq. of,CD19+",,,X,,,,,,,,,,
Effector Memory CD4+ (TEM),"CD3+, CD4+, CCR7-, CD45RA-",X,,,,,,,,,,,,
Effector Memory CD4+ (TEM),"CD45+/CD3+/CD4/EM,Freq. of,CD4",,,X,,,,,,,,,,
Effector Memory CD4+ (TEM),"ly/CD3+/CD4+/Q12: CD45RA,, CCR7,Freq. of,CD4+",,,X,,,,,,,,,,
Effector Memory CD4+ (TEM),"sing/CD45+/CD3+/CD4/EM,Freq. of,CD4",,,X,,,,,,,,,,
Effector Memory CD8+ (TEM),"CD3+, CD8+, CCR7-, CD45RA-",X,,,,,,,,,,,,
Effector Memory CD8+ (TEM),"ly/CD3+/CD8+/Q12: CD45RA,, CCR7,Freq. of,CD8+",,,X,,,,,,,,,,
Effector Memory CD8+ (TEM),"sing/CD45+/CD3+/CD8/EM,Freq. of,CD8",,,X,,,,,,,,,,
Granulocytes,CD16+ neutrophil,X,,,,,,,,,,,,
Granulocytes,Singlet/WBC/Neutro,,,,,,,,,,,X,,
Granulocytes,Singlet/WBC/Neutro/CD16+,,,,,,,,,,,X,,
Granulocytes,Singlet/WBC/Neutro/CD16-,,,,,,,,,,,X,,
Granulocytes,"WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC",,,X,,,,,,,,,,
Granulocytes,"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16,, CD11b+,Freq. of,Neutr",,,X,,,,,,,,,,
Granulocytes,"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr",,,X,,,,,,,,,,
Granulocytes,"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L+,Freq. of,Q2: CD16+, CD11b+",,,X,,,,,,,,,,
Granulocytes,"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L-,Freq. of,Q2: CD16+, CD11b+",,,X,,,,,,,,,,
Granulocytes,"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b,Freq. of,Neutr",,,X,,,,,,,,,,
Granulocytes,"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16,, CD11b,Freq. of,Neutr",,,X,,,,,,,,,,
Granulocytes,"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC",,,X,,,,,,,,,,
Granulocytes,"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16-,, CD11b+,Freq. of,Neutr",,,X,,,,,,,,,,
Granulocytes,"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr",,,X,,,,,,,,,,
Granulocytes,"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b-,Freq. of,Neutr",,,X,,,,,,,,,,
